Sex,Marital status,Age,Education,Income,Occupation,Settlement size
Male,single,23,other/unknown,96060,skilled employee/official,small city
Male,single,27,other/unknown,147968,skilled employee/official,mid-sized city
female,non-sngle,63,university,134853,skilled employee/official,mid-sized city
Male,single,66,university,157576,management/highly qualified employee,big city
Male,non-sngle,43,university,203738,management/highly qualified employee,mid-sized city
Male,non-sngle,44,university,280570,management/highly qualified employee,big city
Male,non-sngle,65,graduate school,69487,unemployed/unskilled,big city
female,non-sngle,73,graduate school,214126,management/highly qualified employee,mid-sized city
Male,single,60,university,136671,skilled employee/official,mid-sized city
Male,non-sngle,62,university,174337,skilled employee/official,mid-sized city
female,non-sngle,58,university,126710,skilled employee/official,mid-sized city
female,non-sngle,43,university,167139,management/highly qualified employee,big city
Male,single,64,university,122094,skilled employee/official,big city
Male,non-sngle,37,graduate school,170113,management/highly qualified employee,big city
female,non-sngle,46,university,192698,management/highly qualified employee,mid-sized city
Male,non-sngle,57,university,144197,skilled employee/official,big city
Male,non-sngle,51,university,133623,skilled employee/official,mid-sized city
female,non-sngle,32,graduate school,171052,management/highly qualified employee,big city
Male,single,64,university,130492,skilled employee/official,big city
Male,single,68,university,135705,skilled employee/official,mid-sized city
female,non-sngle,55,university,171804,management/highly qualified employee,big city
Male,single,73,university,192167,management/highly qualified employee,mid-sized city
female,non-sngle,34,graduate school,134377,skilled employee/official,big city
Male,non-sngle,44,university,146716,skilled employee/official,mid-sized city
Male,single,58,university,267872,skilled employee/official,mid-sized city
female,non-sngle,65,university,142193,unemployed/unskilled,mid-sized city
female,non-sngle,56,university,183765,skilled employee/official,mid-sized city
female,non-sngle,42,university,218664,management/highly qualified employee,big city
female,non-sngle,65,graduate school,145174,skilled employee/official,big city
Male,single,72,university,224961,management/highly qualified employee,big city
female,non-sngle,45,university,262634,management/highly qualified employee,big city
Male,single,68,university,287106,management/highly qualified employee,big city
Male,single,60,university,166298,management/highly qualified employee,mid-sized city
female,non-sngle,30,graduate school,133328,unemployed/unskilled,big city
Male,single,63,university,129798,skilled employee/official,mid-sized city
Male,single,57,university,281084,management/highly qualified employee,mid-sized city
female,non-sngle,46,university,160678,skilled employee/official,big city
female,non-sngle,70,graduate school,167532,skilled employee/official,mid-sized city
Male,single,65,university,178591,skilled employee/official,big city
Male,single,63,university,273063,management/highly qualified employee,big city
Male,non-sngle,54,university,149410,skilled employee/official,big city
Male,non-sngle,49,university,124658,skilled employee/official,big city
female,non-sngle,64,university,153645,skilled employee/official,big city
female,non-sngle,61,university,308529,management/highly qualified employee,big city
female,non-sngle,57,university,155062,skilled employee/official,big city
female,non-sngle,42,university,199654,skilled employee/official,big city
Male,single,62,university,124723,skilled employee/official,big city
female,non-sngle,41,university,127752,skilled employee/official,big city
female,non-sngle,51,university,157595,management/highly qualified employee,mid-sized city
female,non-sngle,38,university,135534,skilled employee/official,big city
female,non-sngle,56,university,166264,management/highly qualified employee,big city
female,non-sngle,43,university,147259,skilled employee/official,mid-sized city
female,non-sngle,48,university,161116,skilled employee/official,mid-sized city
Male,single,61,university,139380,skilled employee/official,mid-sized city
Male,non-sngle,48,university,213768,management/highly qualified employee,big city
Male,single,68,university,125903,skilled employee/official,big city
female,non-sngle,62,university,163940,skilled employee/official,mid-sized city
female,non-sngle,56,university,173378,management/highly qualified employee,big city
female,non-sngle,53,university,126847,skilled employee/official,mid-sized city
Male,non-sngle,33,graduate school,166712,skilled employee/official,big city
female,non-sngle,60,university,189166,skilled employee/official,mid-sized city
female,non-sngle,47,university,161714,skilled employee/official,mid-sized city
Male,non-sngle,25,graduate school,214364,management/highly qualified employee,big city
Male,single,64,university,184680,skilled employee/official,mid-sized city
Male,single,73,university,214732,management/highly qualified employee,mid-sized city
Male,non-sngle,66,university,152527,skilled employee/official,mid-sized city
female,non-sngle,76,graduate school,170366,management/highly qualified employee,mid-sized city
female,non-sngle,60,university,194532,management/highly qualified employee,mid-sized city
female,non-sngle,57,university,125883,skilled employee/official,big city
Male,non-sngle,30,graduate school,131242,skilled employee/official,big city
Male,non-sngle,43,university,159880,management/highly qualified employee,mid-sized city
Male,single,57,university,165519,skilled employee/official,big city
Male,non-sngle,51,university,149653,skilled employee/official,mid-sized city
female,non-sngle,61,university,134102,skilled employee/official,mid-sized city
Male,single,64,university,159378,management/highly qualified employee,big city
Male,non-sngle,41,university,205476,management/highly qualified employee,mid-sized city
Male,non-sngle,43,university,280566,management/highly qualified employee,big city
Male,non-sngle,67,graduate school,71823,unemployed/unskilled,big city
female,non-sngle,71,graduate school,211572,management/highly qualified employee,mid-sized city
Male,single,59,university,136123,skilled employee/official,mid-sized city
Male,non-sngle,60,university,176372,skilled employee/official,mid-sized city
female,non-sngle,60,university,128271,skilled employee/official,mid-sized city
female,non-sngle,45,university,169020,management/highly qualified employee,big city
Male,single,63,university,122267,skilled employee/official,big city
Male,non-sngle,38,graduate school,169324,management/highly qualified employee,big city
female,non-sngle,46,university,192561,management/highly qualified employee,mid-sized city
Male,non-sngle,55,university,145781,skilled employee/official,big city
Male,non-sngle,50,university,135376,skilled employee/official,mid-sized city
female,non-sngle,30,graduate school,169002,management/highly qualified employee,big city
Male,single,63,university,128469,skilled employee/official,big city
Male,single,67,university,135567,skilled employee/official,mid-sized city
female,non-sngle,54,university,170644,management/highly qualified employee,big city
Male,single,71,university,192360,management/highly qualified employee,mid-sized city
female,non-sngle,32,graduate school,133235,skilled employee/official,big city
female,non-sngle,45,university,260847,management/highly qualified employee,big city
Male,single,65,university,285647,management/highly qualified employee,big city
Male,single,62,university,164816,management/highly qualified employee,mid-sized city
female,non-sngle,28,graduate school,130148,unemployed/unskilled,big city
Male,single,65,university,129838,skilled employee/official,mid-sized city
Male,single,57,university,281647,management/highly qualified employee,mid-sized city
female,non-sngle,48,university,157305,skilled employee/official,big city
female,non-sngle,71,graduate school,163654,skilled employee/official,mid-sized city
Male,single,38,high school,82398,skilled employee/official,mid-sized city
Male,non-sngle,40,high school,107710,skilled employee/official,mid-sized city
Male,single,49,high school,122346,skilled employee/official,mid-sized city
Male,non-sngle,32,high school,155540,management/highly qualified employee,mid-sized city
Male,single,45,high school,127572,skilled employee/official,mid-sized city
Male,single,40,high school,154031,management/highly qualified employee,mid-sized city
Male,single,66,university,164931,management/highly qualified employee,big city
Male,single,38,high school,123003,skilled employee/official,big city
Male,non-sngle,20,high school,89605,skilled employee/official,mid-sized city
Male,single,48,high school,117721,skilled employee/official,mid-sized city
Male,non-sngle,46,university,168904,management/highly qualified employee,mid-sized city
Male,single,32,high school,137576,management/highly qualified employee,big city
Male,single,54,high school,111274,skilled employee/official,mid-sized city
Male,non-sngle,24,high school,94249,management/highly qualified employee,big city
Male,non-sngle,27,high school,180940,management/highly qualified employee,mid-sized city
Male,single,57,high school,125032,skilled employee/official,big city
Male,single,38,high school,138011,management/highly qualified employee,mid-sized city
Male,single,40,high school,144850,skilled employee/official,mid-sized city
Male,non-sngle,20,high school,107270,skilled employee/official,big city
Male,single,36,high school,113405,management/highly qualified employee,big city
Male,single,47,high school,137338,skilled employee/official,big city
Male,single,64,university,125119,unemployed/unskilled,big city
Male,single,42,high school,159745,management/highly qualified employee,big city
Male,single,44,high school,181262,management/highly qualified employee,big city
Male,non-sngle,30,high school,90500,management/highly qualified employee,big city
Male,single,37,high school,102733,skilled employee/official,mid-sized city
Male,single,42,high school,135493,skilled employee/official,big city
Male,non-sngle,62,university,169044,skilled employee/official,mid-sized city
Male,single,49,high school,178549,skilled employee/official,big city
Male,single,52,high school,159716,skilled employee/official,big city
Male,non-sngle,36,high school,170118,management/highly qualified employee,mid-sized city
Male,single,49,high school,143886,unemployed/unskilled,mid-sized city
Male,single,42,high school,130164,management/highly qualified employee,big city
Male,single,38,high school,114476,skilled employee/official,mid-sized city
Male,single,50,high school,126143,skilled employee/official,mid-sized city
Male,non-sngle,34,high school,129654,management/highly qualified employee,big city
Male,single,43,high school,123202,skilled employee/official,big city
Male,single,40,high school,160524,skilled employee/official,mid-sized city
Male,single,56,university,126906,skilled employee/official,mid-sized city
Male,single,41,high school,143994,management/highly qualified employee,big city
Male,non-sngle,30,high school,123517,management/highly qualified employee,big city
Male,non-sngle,28,high school,129055,skilled employee/official,big city
Male,single,64,university,136312,unemployed/unskilled,big city
Male,single,67,university,112486,skilled employee/official,big city
Male,single,37,high school,152401,management/highly qualified employee,mid-sized city
Male,single,31,high school,157453,management/highly qualified employee,mid-sized city
Male,single,32,high school,142870,management/highly qualified employee,big city
Male,non-sngle,52,university,137231,skilled employee/official,big city
Male,non-sngle,31,high school,104406,skilled employee/official,mid-sized city
Male,single,36,high school,145385,management/highly qualified employee,mid-sized city
Male,non-sngle,32,high school,146519,management/highly qualified employee,mid-sized city
Male,single,51,high school,126227,skilled employee/official,big city
Male,single,47,high school,112227,management/highly qualified employee,mid-sized city
Male,non-sngle,34,high school,110145,skilled employee/official,big city
Male,non-sngle,46,university,149419,skilled employee/official,mid-sized city
Male,non-sngle,42,high school,176646,skilled employee/official,mid-sized city
Male,single,39,high school,91019,management/highly qualified employee,mid-sized city
Male,single,50,high school,169579,skilled employee/official,big city
Male,single,42,high school,142305,skilled employee/official,big city
Male,non-sngle,36,high school,130602,skilled employee/official,mid-sized city
Male,non-sngle,18,high school,98992,skilled employee/official,mid-sized city
Male,single,35,high school,181926,management/highly qualified employee,big city
Male,single,38,high school,152864,skilled employee/official,big city
Male,single,39,high school,135837,management/highly qualified employee,big city
Male,non-sngle,24,high school,121757,unemployed/unskilled,big city
Male,single,41,high school,182274,skilled employee/official,mid-sized city
Male,single,36,high school,149040,management/highly qualified employee,big city
Male,single,37,high school,154196,management/highly qualified employee,big city
Male,non-sngle,45,university,135332,skilled employee/official,mid-sized city
Male,single,41,high school,134200,management/highly qualified employee,big city
Male,single,36,high school,177171,management/highly qualified employee,big city
Male,single,38,high school,115964,unemployed/unskilled,big city
Male,single,38,high school,136871,unemployed/unskilled,mid-sized city
Male,non-sngle,53,university,159559,management/highly qualified employee,big city
Male,single,35,high school,113878,skilled employee/official,big city
Male,single,48,high school,171203,management/highly qualified employee,big city
Male,single,36,high school,102180,skilled employee/official,big city
Male,non-sngle,22,high school,116844,management/highly qualified employee,mid-sized city
Male,single,35,high school,139844,management/highly qualified employee,big city
Male,single,42,high school,156431,unemployed/unskilled,mid-sized city
Male,single,39,high school,116137,unemployed/unskilled,mid-sized city
Male,single,31,high school,143081,skilled employee/official,mid-sized city
Male,single,33,high school,155870,management/highly qualified employee,big city
Male,non-sngle,31,high school,106924,unemployed/unskilled,mid-sized city
Male,single,42,high school,102133,skilled employee/official,mid-sized city
Male,single,61,university,145227,unemployed/unskilled,mid-sized city
Male,single,38,high school,159500,management/highly qualified employee,big city
Male,single,33,high school,98498,unemployed/unskilled,mid-sized city
Male,single,48,high school,159714,skilled employee/official,big city
Male,single,31,high school,121852,unemployed/unskilled,mid-sized city
Male,single,52,high school,141271,management/highly qualified employee,big city
Male,non-sngle,27,high school,123213,skilled employee/official,big city
Male,single,40,high school,143723,management/highly qualified employee,mid-sized city
Male,single,34,high school,112538,unemployed/unskilled,mid-sized city
Male,non-sngle,26,high school,97932,management/highly qualified employee,big city
Male,single,30,high school,154003,unemployed/unskilled,mid-sized city
Male,single,53,high school,177179,skilled employee/official,mid-sized city
Male,single,45,high school,128052,skilled employee/official,big city
Male,single,32,high school,114617,management/highly qualified employee,mid-sized city
Male,single,35,high school,182822,management/highly qualified employee,big city
Male,non-sngle,26,high school,177215,skilled employee/official,big city
Male,single,30,high school,110929,skilled employee/official,mid-sized city
Male,single,37,high school,111821,skilled employee/official,mid-sized city
Male,single,32,high school,97306,management/highly qualified employee,mid-sized city
Male,non-sngle,40,high school,157231,skilled employee/official,mid-sized city
Male,single,44,high school,126906,unemployed/unskilled,big city
Male,single,43,high school,133243,skilled employee/official,big city
Male,single,51,high school,112250,skilled employee/official,mid-sized city
Male,single,37,high school,104349,unemployed/unskilled,mid-sized city
Male,single,33,high school,151421,skilled employee/official,big city
Male,non-sngle,32,high school,178081,management/highly qualified employee,mid-sized city
Male,single,35,high school,110181,unemployed/unskilled,big city
Male,non-sngle,30,high school,113012,skilled employee/official,mid-sized city
Male,non-sngle,35,high school,154585,management/highly qualified employee,big city
Male,single,40,high school,144704,management/highly qualified employee,mid-sized city
Male,single,37,high school,141632,management/highly qualified employee,big city
Male,single,37,high school,105055,skilled employee/official,big city
Male,single,37,high school,124597,skilled employee/official,big city
Male,single,53,high school,160164,management/highly qualified employee,mid-sized city
Male,single,34,high school,151754,management/highly qualified employee,mid-sized city
Male,single,51,high school,155551,skilled employee/official,mid-sized city
Male,non-sngle,26,high school,94986,skilled employee/official,big city
Male,single,34,high school,175800,unemployed/unskilled,mid-sized city
Male,single,51,high school,126246,management/highly qualified employee,mid-sized city
Male,single,33,high school,116261,skilled employee/official,big city
Male,non-sngle,32,high school,117796,unemployed/unskilled,big city
Male,single,39,high school,115363,skilled employee/official,mid-sized city
Male,single,53,high school,169076,skilled employee/official,mid-sized city
Male,single,34,high school,97474,management/highly qualified employee,big city
Male,single,37,high school,140341,skilled employee/official,big city
Male,non-sngle,28,high school,114503,skilled employee/official,mid-sized city
Male,non-sngle,25,high school,102937,skilled employee/official,big city
Male,single,36,high school,151781,management/highly qualified employee,big city
Male,non-sngle,36,high school,123133,skilled employee/official,big city
Male,single,35,high school,118879,skilled employee/official,big city
Male,non-sngle,21,high school,158683,skilled employee/official,mid-sized city
Male,non-sngle,29,high school,107514,skilled employee/official,big city
Male,single,60,university,193879,skilled employee/official,mid-sized city
Male,single,45,high school,135043,skilled employee/official,mid-sized city
Male,non-sngle,56,university,108559,unemployed/unskilled,mid-sized city
Male,non-sngle,30,high school,121038,skilled employee/official,big city
Male,single,52,high school,151947,management/highly qualified employee,big city
Male,non-sngle,26,high school,118820,skilled employee/official,mid-sized city
Male,single,43,high school,121517,skilled employee/official,mid-sized city
Male,single,34,high school,113572,skilled employee/official,mid-sized city
Male,non-sngle,22,high school,131170,skilled employee/official,big city
Male,single,42,high school,92430,unemployed/unskilled,mid-sized city
Male,single,38,high school,124554,unemployed/unskilled,mid-sized city
Male,non-sngle,29,high school,115988,skilled employee/official,big city
Male,single,44,high school,107301,skilled employee/official,big city
Male,non-sngle,29,high school,103767,management/highly qualified employee,mid-sized city
Male,single,44,high school,141493,skilled employee/official,big city
Male,single,38,high school,154339,skilled employee/official,big city
Male,non-sngle,26,high school,112369,unemployed/unskilled,mid-sized city
Male,single,53,high school,158193,skilled employee/official,mid-sized city
Male,single,43,high school,143734,skilled employee/official,mid-sized city
Male,single,33,high school,121890,skilled employee/official,mid-sized city
Male,single,52,high school,127609,unemployed/unskilled,mid-sized city
Male,non-sngle,26,high school,94650,unemployed/unskilled,big city
Male,single,38,high school,175504,management/highly qualified employee,mid-sized city
Male,single,47,high school,165495,skilled employee/official,big city
Male,non-sngle,26,high school,120389,skilled employee/official,mid-sized city
Male,non-sngle,36,high school,165340,skilled employee/official,mid-sized city
Male,single,36,high school,119804,skilled employee/official,mid-sized city
Male,single,57,university,154344,management/highly qualified employee,mid-sized city
Male,non-sngle,31,high school,106266,management/highly qualified employee,big city
Male,single,45,high school,136129,skilled employee/official,mid-sized city
Male,single,40,high school,151914,management/highly qualified employee,mid-sized city
Male,non-sngle,21,high school,121473,skilled employee/official,mid-sized city
Male,single,46,high school,127147,skilled employee/official,big city
Male,single,35,high school,125387,skilled employee/official,big city
Male,non-sngle,31,high school,139490,unemployed/unskilled,big city
Male,single,51,high school,124990,skilled employee/official,big city
Male,non-sngle,21,high school,101471,management/highly qualified employee,mid-sized city
Male,single,48,high school,155708,skilled employee/official,mid-sized city
Male,single,48,high school,142345,skilled employee/official,big city
Male,single,68,university,148675,unemployed/unskilled,mid-sized city
Male,non-sngle,45,university,116484,skilled employee/official,big city
Male,single,35,high school,150237,management/highly qualified employee,big city
Male,non-sngle,22,high school,100273,skilled employee/official,big city
Male,single,44,high school,122292,unemployed/unskilled,mid-sized city
Male,single,52,high school,159216,skilled employee/official,mid-sized city
Male,single,48,high school,130082,skilled employee/official,big city
Male,single,33,high school,139547,skilled employee/official,big city
Male,non-sngle,35,high school,122895,skilled employee/official,mid-sized city
Male,non-sngle,64,university,154549,skilled employee/official,mid-sized city
Male,single,58,high school,149315,unemployed/unskilled,big city
Male,non-sngle,24,high school,118101,unemployed/unskilled,big city
Male,single,40,high school,115831,unemployed/unskilled,big city
Male,single,49,high school,118571,management/highly qualified employee,big city
Male,single,31,high school,138906,skilled employee/official,big city
Male,single,46,high school,98520,skilled employee/official,big city
Male,single,46,high school,106576,skilled employee/official,mid-sized city
Male,single,49,high school,121592,skilled employee/official,mid-sized city
Male,single,29,high school,135605,unemployed/unskilled,mid-sized city
Male,single,37,high school,114552,skilled employee/official,big city
Male,single,33,high school,151339,management/highly qualified employee,mid-sized city
Male,single,71,university,170387,skilled employee/official,big city
Male,single,35,high school,118288,skilled employee/official,big city
Male,single,40,high school,109992,skilled employee/official,big city
female,single,27,high school,90654,unemployed/unskilled,small city
female,single,61,university,113290,unemployed/unskilled,small city
female,non-sngle,29,high school,100093,skilled employee/official,mid-sized city
female,single,33,high school,109489,skilled employee/official,small city
female,single,56,university,139427,unemployed/unskilled,small city
female,non-sngle,27,high school,123411,skilled employee/official,mid-sized city
female,non-sngle,22,high school,137925,skilled employee/official,small city
female,non-sngle,19,high school,99119,skilled employee/official,small city
female,non-sngle,28,high school,91084,skilled employee/official,mid-sized city
female,non-sngle,24,high school,110137,skilled employee/official,mid-sized city
female,non-sngle,27,high school,67041,unemployed/unskilled,small city
female,non-sngle,30,high school,127299,skilled employee/official,mid-sized city
female,single,26,high school,84555,unemployed/unskilled,small city
female,non-sngle,26,high school,123895,skilled employee/official,small city
female,non-sngle,23,high school,94324,skilled employee/official,mid-sized city
female,non-sngle,28,high school,96062,skilled employee/official,small city
female,non-sngle,67,graduate school,144843,skilled employee/official,small city
female,non-sngle,27,high school,107485,skilled employee/official,mid-sized city
female,non-sngle,32,high school,98573,skilled employee/official,small city
female,single,24,high school,107462,unemployed/unskilled,small city
female,non-sngle,28,high school,115809,skilled employee/official,mid-sized city
female,single,48,university,118749,unemployed/unskilled,small city
female,non-sngle,32,high school,139112,skilled employee/official,mid-sized city
female,non-sngle,25,high school,94075,skilled employee/official,small city
female,non-sngle,57,university,62002,unemployed/unskilled,small city
female,non-sngle,28,high school,127262,skilled employee/official,small city
female,non-sngle,24,high school,122846,skilled employee/official,mid-sized city
female,non-sngle,25,high school,61907,unemployed/unskilled,small city
female,single,31,high school,89287,unemployed/unskilled,small city
female,single,33,high school,103696,skilled employee/official,mid-sized city
female,non-sngle,50,university,147603,skilled employee/official,small city
female,non-sngle,58,university,139229,unemployed/unskilled,mid-sized city
female,non-sngle,27,high school,107932,unemployed/unskilled,small city
female,non-sngle,48,university,116235,unemployed/unskilled,small city
female,non-sngle,22,high school,85974,unemployed/unskilled,small city
female,non-sngle,40,high school,124001,unemployed/unskilled,small city
female,non-sngle,32,high school,121428,skilled employee/official,small city
female,single,25,high school,93233,unemployed/unskilled,small city
female,non-sngle,27,high school,67965,unemployed/unskilled,small city
female,non-sngle,27,high school,88001,unemployed/unskilled,small city
female,non-sngle,23,high school,129112,skilled employee/official,small city
female,non-sngle,32,high school,109324,skilled employee/official,mid-sized city
female,non-sngle,25,high school,112785,skilled employee/official,mid-sized city
female,non-sngle,46,university,136735,unemployed/unskilled,small city
female,non-sngle,21,high school,107779,skilled employee/official,mid-sized city
female,non-sngle,29,high school,103526,skilled employee/official,small city
female,non-sngle,31,high school,93171,unemployed/unskilled,small city
female,single,26,high school,106559,unemployed/unskilled,small city
female,non-sngle,23,high school,112728,skilled employee/official,mid-sized city
female,single,38,high school,102855,skilled employee/official,mid-sized city
female,single,35,high school,85381,unemployed/unskilled,small city
female,non-sngle,27,high school,100762,skilled employee/official,mid-sized city
female,non-sngle,22,high school,131445,skilled employee/official,mid-sized city
female,non-sngle,52,university,123194,skilled employee/official,small city
female,non-sngle,19,high school,99519,skilled employee/official,mid-sized city
female,non-sngle,23,high school,112853,skilled employee/official,small city
female,single,42,high school,110509,skilled employee/official,small city
female,non-sngle,27,high school,106446,skilled employee/official,mid-sized city
female,non-sngle,39,university,89665,unemployed/unskilled,small city
female,non-sngle,50,university,128233,skilled employee/official,mid-sized city
female,non-sngle,36,high school,133615,skilled employee/official,small city
female,non-sngle,25,high school,115833,skilled employee/official,mid-sized city
female,non-sngle,27,high school,65560,unemployed/unskilled,small city
female,non-sngle,30,high school,118642,skilled employee/official,small city
female,single,22,high school,63635,unemployed/unskilled,small city
female,non-sngle,27,high school,122649,skilled employee/official,mid-sized city
female,single,31,high school,143321,management/highly qualified employee,mid-sized city
female,non-sngle,29,high school,99556,skilled employee/official,small city
female,single,34,high school,36760,unemployed/unskilled,small city
female,single,33,high school,71935,unemployed/unskilled,small city
female,non-sngle,26,high school,114977,skilled employee/official,small city
female,non-sngle,36,high school,147691,skilled employee/official,mid-sized city
female,non-sngle,26,high school,54296,unemployed/unskilled,small city
female,non-sngle,39,high school,80014,unemployed/unskilled,small city
female,non-sngle,44,university,77887,unemployed/unskilled,small city
female,non-sngle,46,university,98517,unemployed/unskilled,small city
female,non-sngle,31,high school,103012,unemployed/unskilled,small city
female,single,26,high school,121377,skilled employee/official,small city
female,non-sngle,22,high school,91359,skilled employee/official,mid-sized city
female,single,48,university,104833,unemployed/unskilled,small city
female,non-sngle,27,high school,101209,skilled employee/official,small city
female,single,30,high school,58207,unemployed/unskilled,small city
female,non-sngle,27,high school,116708,skilled employee/official,mid-sized city
female,non-sngle,36,high school,107471,skilled employee/official,mid-sized city
female,non-sngle,31,high school,128495,skilled employee/official,small city
female,single,21,high school,124468,skilled employee/official,small city
female,non-sngle,26,high school,106922,skilled employee/official,mid-sized city
female,single,24,high school,104291,skilled employee/official,small city
female,non-sngle,29,high school,98204,skilled employee/official,small city
female,non-sngle,32,high school,127071,skilled employee/official,small city
female,non-sngle,45,university,85115,unemployed/unskilled,small city
female,non-sngle,58,university,104013,unemployed/unskilled,small city
female,non-sngle,25,high school,89863,skilled employee/official,small city
female,non-sngle,67,graduate school,135300,skilled employee/official,small city
female,non-sngle,53,university,107861,unemployed/unskilled,small city
female,non-sngle,24,high school,123994,skilled employee/official,small city
female,single,20,high school,91270,unemployed/unskilled,small city
female,non-sngle,71,graduate school,133245,unemployed/unskilled,small city
female,non-sngle,31,high school,118594,skilled employee/official,mid-sized city
female,non-sngle,27,high school,40606,unemployed/unskilled,small city
female,non-sngle,36,high school,129304,unemployed/unskilled,small city
female,non-sngle,25,high school,113118,skilled employee/official,small city
female,single,41,high school,133131,skilled employee/official,small city
female,non-sngle,30,high school,106876,skilled employee/official,mid-sized city
female,non-sngle,32,high school,130870,skilled employee/official,mid-sized city
female,non-sngle,29,high school,125621,unemployed/unskilled,small city
female,single,27,high school,78923,unemployed/unskilled,small city
female,non-sngle,32,high school,123983,skilled employee/official,small city
female,non-sngle,25,high school,75184,unemployed/unskilled,small city
female,single,24,high school,109693,skilled employee/official,small city
female,non-sngle,63,university,86273,unemployed/unskilled,small city
female,single,42,university,113190,unemployed/unskilled,small city
female,non-sngle,22,high school,109274,unemployed/unskilled,small city
female,non-sngle,46,university,143489,skilled employee/official,mid-sized city
female,non-sngle,24,high school,99570,skilled employee/official,mid-sized city
female,single,30,high school,139468,skilled employee/official,mid-sized city
female,non-sngle,44,university,108627,unemployed/unskilled,small city
female,single,25,high school,106355,skilled employee/official,small city
female,non-sngle,27,high school,96952,skilled employee/official,small city
female,non-sngle,27,high school,141502,skilled employee/official,mid-sized city
female,non-sngle,34,high school,110420,skilled employee/official,mid-sized city
female,non-sngle,18,high school,97741,skilled employee/official,mid-sized city
female,non-sngle,25,high school,99583,skilled employee/official,mid-sized city
female,non-sngle,21,high school,63698,unemployed/unskilled,small city
female,non-sngle,26,high school,116688,skilled employee/official,mid-sized city
female,non-sngle,27,high school,131542,management/highly qualified employee,mid-sized city
female,single,25,high school,136055,skilled employee/official,mid-sized city
female,non-sngle,30,high school,100195,skilled employee/official,mid-sized city
female,single,66,graduate school,131001,skilled employee/official,small city
female,non-sngle,25,high school,104062,skilled employee/official,mid-sized city
female,non-sngle,43,university,137689,skilled employee/official,small city
female,non-sngle,35,high school,137705,skilled employee/official,mid-sized city
female,single,70,graduate school,69915,unemployed/unskilled,small city
female,single,35,high school,68731,unemployed/unskilled,small city
female,non-sngle,26,high school,105726,skilled employee/official,small city
female,single,29,high school,78078,unemployed/unskilled,small city
female,non-sngle,22,high school,110835,unemployed/unskilled,small city
female,single,26,high school,115531,skilled employee/official,mid-sized city
female,non-sngle,36,high school,92723,unemployed/unskilled,small city
female,non-sngle,35,high school,107509,skilled employee/official,mid-sized city
female,non-sngle,28,high school,116763,skilled employee/official,mid-sized city
female,non-sngle,24,high school,100733,skilled employee/official,small city
female,non-sngle,34,high school,92652,unemployed/unskilled,small city
female,non-sngle,25,high school,106987,skilled employee/official,small city
female,non-sngle,54,university,51882,unemployed/unskilled,small city
female,single,46,university,104751,unemployed/unskilled,small city
female,non-sngle,42,high school,50947,unemployed/unskilled,small city
female,single,45,university,126986,unemployed/unskilled,small city
female,single,48,university,110223,unemployed/unskilled,small city
female,single,21,high school,100591,unemployed/unskilled,small city
female,non-sngle,31,high school,123257,skilled employee/official,small city
female,single,35,high school,137736,skilled employee/official,mid-sized city
female,non-sngle,36,high school,110221,skilled employee/official,mid-sized city
female,non-sngle,32,high school,99703,unemployed/unskilled,small city
female,non-sngle,26,high school,106667,unemployed/unskilled,small city
female,non-sngle,34,high school,143319,skilled employee/official,small city
female,non-sngle,65,university,135557,skilled employee/official,mid-sized city
female,non-sngle,50,university,93390,unemployed/unskilled,small city
female,non-sngle,39,high school,97577,skilled employee/official,small city
female,single,52,university,124196,unemployed/unskilled,small city
female,non-sngle,36,high school,81136,unemployed/unskilled,small city
female,non-sngle,29,high school,119439,skilled employee/official,small city
female,non-sngle,36,high school,145231,skilled employee/official,mid-sized city
female,non-sngle,36,high school,85623,unemployed/unskilled,small city
female,non-sngle,27,high school,145373,skilled employee/official,mid-sized city
female,non-sngle,36,high school,135896,management/highly qualified employee,mid-sized city
female,non-sngle,26,high school,106470,skilled employee/official,mid-sized city
female,single,57,university,113334,skilled employee/official,mid-sized city
female,single,27,high school,100560,unemployed/unskilled,small city
female,non-sngle,58,university,108442,unemployed/unskilled,small city
female,non-sngle,27,high school,64472,unemployed/unskilled,small city
female,non-sngle,49,university,120207,skilled employee/official,small city
female,non-sngle,43,university,101680,skilled employee/official,small city
female,single,45,university,92342,unemployed/unskilled,small city
female,non-sngle,27,high school,98611,unemployed/unskilled,small city
female,non-sngle,34,high school,97613,skilled employee/official,mid-sized city
female,non-sngle,21,high school,82298,unemployed/unskilled,small city
female,non-sngle,54,university,125302,skilled employee/official,mid-sized city
female,non-sngle,43,university,108725,unemployed/unskilled,small city
female,single,25,high school,85569,unemployed/unskilled,small city
female,single,57,university,110372,unemployed/unskilled,small city
female,non-sngle,26,high school,100511,skilled employee/official,mid-sized city
female,single,30,high school,110455,skilled employee/official,small city
female,single,58,university,141993,unemployed/unskilled,small city
female,non-sngle,25,high school,121789,skilled employee/official,mid-sized city
female,non-sngle,23,high school,138967,skilled employee/official,small city
female,single,22,high school,105230,skilled employee/official,small city
female,non-sngle,21,high school,90656,skilled employee/official,mid-sized city
female,non-sngle,20,high school,115445,skilled employee/official,mid-sized city
female,non-sngle,22,high school,59955,unemployed/unskilled,small city
female,single,27,high school,126268,skilled employee/official,mid-sized city
female,single,24,high school,80830,unemployed/unskilled,small city
female,non-sngle,23,high school,123625,skilled employee/official,small city
female,non-sngle,26,high school,102543,skilled employee/official,mid-sized city
